DÈbut ÈvÈnement,Fin ÈvÈnement,Salle
2022-01-17 07:15:00,2022-01-17 11:15:00,RT-Labo Electronique 1,SAE13: Telecommunication
2022-01-18 13:00:00,2022-01-18 17:00:00,RT-Labo Informatique 2,SAE15: Traiter des donn√©es
2022-01-12 13:00:00,2022-01-12 17:00:00,RT-Labo Informatique 2,SAE15: Traiter des donn√©es
2022-01-13 07:15:00,2022-01-13 11:15:00,RT-Labo Informatique 2,SAE14: Se pr√©senter sur Internet
2022-01-14 12:30:00,2022-01-14 16:30:00,RT-Labo Informatique 2,SAE14: Se pr√©senter sur Internet
2022-01-19 07:15:00,2022-01-19 11:15:00,RT-Labo Informatique 1,Gestion de projet
2022-01-14 07:15:00,2022-01-14 11:15:00,RT-Labo Electronique 1,SAE13: Telecommunication
2022-01-18 07:15:00,2022-01-18 11:15:00,RT-Labo Informatique 1,SAE15: Traiter des donn√©es
